Users,Repository,Rating,Links
federico-busato,Modern-CPP-Programming,"14,271",https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,"10,511",https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,"10,259",https://github.com/super-linter/super-linter
SonarSource,sonarqube,"10,137",https://github.com/SonarSource/sonarqube
reviewdog,reviewdog,"8,932",https://github.com/reviewdog/reviewdog
checkstyle,checkstyle,"8,787",https://github.com/checkstyle/checkstyle
facebook,pyre-check,"7,133",https://github.com/facebook/pyre-check
detekt,detekt,"6,793",https://github.com/detekt/detekt
trekhleb,state-of-the-art-shitcode,"6,114",https://github.com/trekhleb/state-of-the-art-shitcode
import-js,eslint-plugin-import,"5,863",https://github.com/import-js/eslint-plugin-import
pylint-dev,pylint,"5,626",https://github.com/pylint-dev/pylint
pmd,pmd,"5,277",https://github.com/pmd/pmd
facebook,pyrefly,"5,149",https://github.com/facebook/pyrefly
kucherenko,jscpd,"5,125",https://github.com/kucherenko/jscpd
simplecov-ruby,simplecov,"4,866",https://github.com/simplecov-ruby/simplecov
phpro,grumphp,"4,264",https://github.com/phpro/grumphp
vercel,next.js,"136,911",https://github.com/vercel/next.js
rust-lang,rust,"109,089",https://github.com/rust-lang/rust
sveltejs,svelte,"85,335",https://github.com/sveltejs/svelte
webpack,webpack,"65,866",https://github.com/webpack/webpack
FuelLabs,sway,"62,025",https://github.com/FuelLabs/sway
gatsbyjs,gatsby,"55,958",https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,"52,106",https://github.com/JetBrains/kotlin
typst,typst,"50,116",https://github.com/typst/typst
parcel-bundler,parcel,"44,032",https://github.com/parcel-bundler/parcel
babel,babel,"43,837",https://github.com/babel/babel
ziglang,zig,"42,600",https://github.com/ziglang/zig
evanw,esbuild,"39,605",https://github.com/evanw/esbuild
vlang,v,"37,238",https://github.com/vlang/v
markedjs,marked,"36,375",https://github.com/markedjs/marked
carbon-language,carbon-lang,"33,601",https://github.com/carbon-language/carbon-lang
swc-project,swc,"33,115",https://github.com/swc-project/swc
v8,v8,"24,738",https://github.com/v8/v8
vercel,pkg,"24,423",https://github.com/vercel/pkg
RustPython,RustPython,"21,606",https://github.com/RustPython/RustPython
oracle,graal,"21,394",https://github.com/oracle/graal
twbs,bootstrap,"173,885",https://github.com/twbs/bootstrap
Chalarangelo,30-seconds-of-code,"126,201",https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,"119,599",https://github.com/electron/electron
microsoft,Web-Dev-For-Beginners,"94,870",https://github.com/microsoft/Web-Dev-For-Beginners
tailwindlabs,tailwindcss,"91,820",https://github.com/tailwindlabs/tailwindcss
florinpop17,app-ideas,"89,352",https://github.com/florinpop17/app-ideas
animate-css,animate.css,"82,548",https://github.com/animate-css/animate.css
FortAwesome,Font-Awesome,"76,178",https://github.com/FortAwesome/Font-Awesome
thedaviddias,Front-End-Checklist,"71,947",https://github.com/thedaviddias/Front-End-Checklist
juliangarnier,anime,"65,747",https://github.com/juliangarnier/anime
h5bp,html5-boilerplate,"57,329",https://github.com/h5bp/html5-boilerplate
necolas,normalize.css,"53,744",https://github.com/necolas/normalize.css
prettier,prettier,"51,343",https://github.com/prettier/prettier
jgthms,bulma,"50,035",https://github.com/jgthms/bulma
Asabeneh,30-Days-Of-JavaScript,"45,822",https://github.com/Asabeneh/30-Days-Of-JavaScript
ColorlibHQ,AdminLTE,"45,246",https://github.com/ColorlibHQ/AdminLTE
vercel,hyper,"44,621",https://github.com/vercel/hyper
parcel-bundler,parcel,"44,032",https://github.com/parcel-bundler/parcel
yangshun,front-end-interview-handbook,"43,781",https://github.com/yangshun/front-end-interview-handbook
styled-components,styled-components,"41,011",https://github.com/styled-components/styled-components
supabase,supabase,"95,600",https://github.com/supabase/supabase
netdata,netdata,"77,229",https://github.com/netdata/netdata
redis,redis,"72,366",https://github.com/redis/redis
meilisearch,meilisearch,"55,218",https://github.com/meilisearch/meilisearch
Asabeneh,30-Days-Of-Python,"54,793",https://github.com/Asabeneh/30-Days-Of-Python
etcd-io,etcd,"51,236",https://github.com/etcd-io/etcd
dbeaver,dbeaver,"48,062",https://github.com/dbeaver/dbeaver
metabase,metabase,"45,447",https://github.com/metabase/metabase
LeCoupa,awesome-cheatsheets,"45,079",https://github.com/LeCoupa/awesome-cheatsheets
ClickHouse,ClickHouse,"44,994",https://github.com/ClickHouse/ClickHouse
prisma,prisma,"44,953",https://github.com/prisma/prisma
pingcap,tidb,"39,550",https://github.com/pingcap/tidb
QuivrHQ,quivr,"38,756",https://github.com/QuivrHQ/quivr
huihut,interview,"37,360",https://github.com/huihut/interview
sqlmapproject,sqlmap,"36,241",https://github.com/sqlmapproject/sqlmap
typeorm,typeorm,"36,184",https://github.com/typeorm/typeorm
SheetJS,sheetjs,"36,101",https://github.com/SheetJS/sheetjs
duckdb,duckdb,"35,149",https://github.com/duckdb/duckdb
directus,directus,"33,846",https://github.com/directus/directus
cockroachdb,cockroach,"31,691",https://github.com/cockroachdb/cockroach
facebook,react,"242,002",https://github.com/facebook/react
vuejs,vue,"209,800",https://github.com/vuejs/vue
vitejs,vite,"77,375",https://github.com/vitejs/vite
thedaviddias,Front-End-Checklist,"71,947",https://github.com/thedaviddias/Front-End-Checklist
ionic-team,ionic-framework,"52,269",https://github.com/ionic-team/ionic-framework
expo,expo,"46,109",https://github.com/expo/expo
dypsilon,frontend-dev-bookmarks,"45,702",https://github.com/dypsilon/frontend-dev-bookmarks
LeCoupa,awesome-cheatsheets,"45,079",https://github.com/LeCoupa/awesome-cheatsheets
GitHubDaily,GitHubDaily,"44,042",https://github.com/GitHubDaily/GitHubDaily
NaiboWang,EasySpider,"43,799",https://github.com/NaiboWang/EasySpider
fastapi,full-stack-fastapi-template,"40,397",https://github.com/fastapi/full-stack-fastapi-template
QuivrHQ,quivr,"38,756",https://github.com/QuivrHQ/quivr
CorentinTh,it-tools,"36,098",https://github.com/CorentinTh/it-tools
xitu,gold-miner,"34,322",https://github.com/xitu/gold-miner
mouredev,Hello-Python,"33,668",https://github.com/mouredev/Hello-Python
ascoders,weekly,"30,773",https://github.com/ascoders/weekly
Dokploy,dokploy,"28,713",https://github.com/Dokploy/dokploy
haizlin,fe-interview,"26,228",https://github.com/haizlin/fe-interview
iview,iview,"23,873",https://github.com/iview/iview
onlook-dev,onlook,"23,625",https://github.com/onlook-dev/onlook
freeCodeCamp,freeCodeCamp,"435,514",https://github.com/freeCodeCamp/freeCodeCamp
practical-tutorials,project-based-learning,"254,484",https://github.com/practical-tutorials/project-based-learning
facebook,react,"242,002",https://github.com/facebook/react
vuejs,vue,"209,800",https://github.com/vuejs/vue
trekhleb,javascript-algorithms,"195,266",https://github.com/trekhleb/javascript-algorithms
getify,You-Dont-Know-JS,"184,210",https://github.com/getify/You-Dont-Know-JS
twbs,bootstrap,"173,885",https://github.com/twbs/bootstrap
airbnb,javascript,"148,018",https://github.com/airbnb/javascript
Chalarangelo,30-seconds-of-code,"126,201",https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,"119,599",https://github.com/electron/electron
justjavac,free-programming-books-zh_CN,"116,082",https://github.com/justjavac/free-programming-books-zh_CN
nodejs,node,"115,024",https://github.com/nodejs/node
mrdoob,three.js,"110,146",https://github.com/mrdoob/three.js
axios,axios,"108,428",https://github.com/axios/axios
microsoft,TypeScript,"107,326",https://github.com/microsoft/TypeScript
denoland,deno,"105,722",https://github.com/denoland/deno
goldbergyoni,nodebestpractices,"104,883",https://github.com/goldbergyoni/nodebestpractices
angular,angular,"99,610",https://github.com/angular/angular
microsoft,Web-Dev-For-Beginners,"94,870",https://github.com/microsoft/Web-Dev-For-Beginners
ryanmcdermott,clean-code-javascript,"94,220",https://github.com/ryanmcdermott/clean-code-javascript
freeCodeCamp,freeCodeCamp,"435,514",https://github.com/freeCodeCamp/freeCodeCamp
Chalarangelo,30-seconds-of-code,"126,201",https://github.com/Chalarangelo/30-seconds-of-code
electron,electron,"119,599",https://github.com/electron/electron
nodejs,node,"115,024",https://github.com/nodejs/node
axios,axios,"108,428",https://github.com/axios/axios
goldbergyoni,nodebestpractices,"104,883",https://github.com/goldbergyoni/nodebestpractices
nvm-sh,nvm,"90,660",https://github.com/nvm-sh/nvm
immich-app,immich,"88,229",https://github.com/immich-app/immich
oven-sh,bun,"85,924",https://github.com/oven-sh/bun
nestjs,nest,"74,118",https://github.com/nestjs/nest
strapi,strapi,"70,867",https://github.com/strapi/strapi
expressjs,express,"68,480",https://github.com/expressjs/express
leonardomso,33-js-concepts,"66,012",https://github.com/leonardomso/33-js-concepts
sindresorhus,awesome-nodejs,"64,420",https://github.com/sindresorhus/awesome-nodejs
socketio,socket.io,"62,747",https://github.com/socketio/socket.io
openinterpreter,open-interpreter,"61,428",https://github.com/openinterpreter/open-interpreter
laurent22,joplin,"52,762",https://github.com/laurent22/joplin
TryGhost,Ghost,"51,516",https://github.com/TryGhost/Ghost
coollabsio,coolify,"49,147",https://github.com/coollabsio/coolify
Asabeneh,30-Days-Of-JavaScript,"45,822",https://github.com/Asabeneh/30-Days-Of-JavaScript
goldbergyoni,nodebestpractices,"104,883",https://github.com/goldbergyoni/nodebestpractices
oven-sh,bun,"85,924",https://github.com/oven-sh/bun
meteor,meteor,"44,759",https://github.com/meteor/meteor
yarnpkg,yarn,"41,541",https://github.com/yarnpkg/yarn
lerna,lerna,"36,052",https://github.com/lerna/lerna
pnpm,pnpm,"33,589",https://github.com/pnpm/pnpm
honojs,hono,"28,035",https://github.com/honojs/hono
apify,crawlee,"20,946",https://github.com/apify/crawlee
renovatebot,renovate,"20,481",https://github.com/renovatebot/renovate
marticliment,UniGetUI,"19,748",https://github.com/marticliment/UniGetUI
verdaccio,verdaccio,"17,388",https://github.com/verdaccio/verdaccio
jaywcjlove,reference,"14,831",https://github.com/jaywcjlove/reference
jaredpalmer,tsdx,"11,447",https://github.com/jaredpalmer/tsdx
raineorshine,npm-check-updates,"10,106",https://github.com/raineorshine/npm-check-updates
astrit,css.gg,"9,947",https://github.com/astrit/css.gg
npm,cli,"9,409",https://github.com/npm/cli
voidcosmos,npkill,"8,993",https://github.com/voidcosmos/npkill
release-it,release-it,"8,780",https://github.com/release-it/release-it
tsparticles,tsparticles,"8,635",https://github.com/tsparticles/tsparticles
miniMAC,magic,"8,594",https://github.com/miniMAC/magic
AppFlowy-IO,AppFlowy,"67,307",https://github.com/AppFlowy-IO/AppFlowy
makeplane,plane,"42,766",https://github.com/makeplane/plane
frappe,erpnext,"30,872",https://github.com/frappe/erpnext
mattermost-community,focalboard,"25,671",https://github.com/mattermost-community/focalboard
hcengineering,platform,"24,034",https://github.com/hcengineering/platform
nocobase,nocobase,"21,010",https://github.com/nocobase/nocobase
joelparkerhenderson,architecture-decision-record,"14,715",https://github.com/joelparkerhenderson/architecture-decision-record
opf,openproject,"13,494",https://github.com/opf/openproject
plankanban,planka,"11,285",https://github.com/plankanban/planka
kanboard,kanboard,"9,366",https://github.com/kanboard/kanboard
Leantime,leantime,"8,817",https://github.com/Leantime/leantime
automazeio,ccpm,"5,936",https://github.com/automazeio/ccpm
kuaifan,dootask,"5,394",https://github.com/kuaifan/dootask
JordanKnott,taskcafe,"5,056",https://github.com/JordanKnott/taskcafe
mark-when,markwhen,"4,767",https://github.com/mark-when/markwhen
bbatsov,projectile,"4,157",https://github.com/bbatsov/projectile
freeplane,freeplane,"3,817",https://github.com/freeplane/freeplane
ever-co,ever-gauzy,"3,371",https://github.com/ever-co/ever-gauzy
gdcmarinho,awesome-project,"3,241",https://github.com/gdcmarinho/awesome-project
usekaneo,kaneo,"3,054",https://github.com/usekaneo/kaneo
donnemartin,system-design-primer,"331,300",https://github.com/donnemartin/system-design-primer
vinta,awesome-python,"276,742",https://github.com/vinta/awesome-python
practical-tutorials,project-based-learning,"254,484",https://github.com/practical-tutorials/project-based-learning
TheAlgorithms,Python,"216,457",https://github.com/TheAlgorithms/Python
tensorflow,tensorflow,"193,180",https://github.com/tensorflow/tensorflow
CyC2018,CS-Notes,"183,321",https://github.com/CyC2018/CS-Notes
Significant-Gravitas,AutoGPT,"180,811",https://github.com/Significant-Gravitas/AutoGPT
huggingface,transformers,"154,565",https://github.com/huggingface/transformers
yt-dlp,yt-dlp,"140,558",https://github.com/yt-dlp/yt-dlp
521xueweihan,HelloGitHub,"139,165",https://github.com/521xueweihan/HelloGitHub
langgenius,dify,"124,581",https://github.com/langgenius/dify
langchain-ai,langchain,"123,346",https://github.com/langchain-ai/langchain
justjavac,free-programming-books-zh_CN,"116,082",https://github.com/justjavac/free-programming-books-zh_CN
comfyanonymous,ComfyUI,"98,968",https://github.com/comfyanonymous/ComfyUI
pytorch,pytorch,"96,317",https://github.com/pytorch/pytorch
nvbn,thefuck,"95,103",https://github.com/nvbn/thefuck
fastapi,fastapi,"93,705",https://github.com/fastapi/fastapi
Shubhamsaboo,awesome-llm-apps,"86,474",https://github.com/Shubhamsaboo/awesome-llm-apps
django,django,"86,358",https://github.com/django/django
home-assistant,core,"83,879",https://github.com/home-assistant/core
freeCodeCamp,freeCodeCamp,"435,514",https://github.com/freeCodeCamp/freeCodeCamp
facebook,react,"242,002",https://github.com/facebook/react
vercel,next.js,"136,911",https://github.com/vercel/next.js
facebook,react-native,"124,969",https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,"116,082",https://github.com/justjavac/free-programming-books-zh_CN
shadcn-ui,ui,"104,010",https://github.com/shadcn-ui/ui
facebook,create-react-app,"103,936",https://github.com/facebook/create-react-app
mui,material-ui,"97,546",https://github.com/mui/material-ui
ant-design,ant-design,"97,156",https://github.com/ant-design/ant-design
storybookjs,storybook,"88,943",https://github.com/storybookjs/storybook
ChatGPTNextWeb,NextChat,"86,918",https://github.com/ChatGPTNextWeb/NextChat
oven-sh,bun,"85,924",https://github.com/oven-sh/bun
enaqx,awesome-react,"71,434",https://github.com/enaqx/awesome-react
apache,superset,"69,626",https://github.com/apache/superset
leonardomso,33-js-concepts,"66,012",https://github.com/leonardomso/33-js-concepts
facebook,docusaurus,"63,216",https://github.com/facebook/docusaurus
pmndrs,zustand,"56,381",https://github.com/pmndrs/zustand
gatsbyjs,gatsby,"55,958",https://github.com/gatsbyjs/gatsby
appwrite,appwrite,"54,190",https://github.com/appwrite/appwrite
ionic-team,ionic-framework,"52,269",https://github.com/ionic-team/ionic-framework
facebook,react-native,"124,969",https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,"116,082",https://github.com/justjavac/free-programming-books-zh_CN
storybookjs,storybook,"88,943",https://github.com/storybookjs/storybook
enaqx,awesome-react,"71,434",https://github.com/enaqx/awesome-react
appwrite,appwrite,"54,190",https://github.com/appwrite/appwrite
laurent22,joplin,"52,762",https://github.com/laurent22/joplin
dkhamsing,open-source-ios-apps,"48,174",https://github.com/dkhamsing/open-source-ios-apps
expo,expo,"46,109",https://github.com/expo/expo
react-hook-form,react-hook-form,"44,360",https://github.com/react-hook-form/react-hook-form
sudheerj,reactjs-interview-questions,"43,966",https://github.com/sudheerj/reactjs-interview-questions
NervJS,taro,"37,192",https://github.com/NervJS/taro
typeorm,typeorm,"36,184",https://github.com/typeorm/typeorm
jondot,awesome-react-native,"35,554",https://github.com/jondot/awesome-react-native
mattermost,mattermost,"34,814",https://github.com/mattermost/mattermost
jaredpalmer,formik,"34,375",https://github.com/jaredpalmer/formik
vercel,swr,"32,235",https://github.com/vercel/swr
react-native-elements,react-native-elements,"25,729",https://github.com/react-native-elements/react-native-elements
react-navigation,react-navigation,"24,342",https://github.com/react-navigation/react-navigation
zulip,zulip,"24,158",https://github.com/zulip/zulip
pubkey,rxdb,"22,923",https://github.com/pubkey/rxdb
apache,spark,"42,588",https://github.com/apache/spark
apache,kafka,"31,641",https://github.com/apache/kafka
apache,flink,"25,670",https://github.com/apache/flink
lichess-org,lila,"17,541",https://github.com/lichess-org/lila
heibaiying,BigData-Notes,"16,824",https://github.com/heibaiying/BigData-Notes
scala,scala,"14,436",https://github.com/scala/scala
deeplearning4j,deeplearning4j,"14,181",https://github.com/deeplearning4j/deeplearning4j
playframework,playframework,"12,619",https://github.com/playframework/playframework
apache,predictionio,"12,536",https://github.com/apache/predictionio
yahoo,CMAK,"11,943",https://github.com/yahoo/CMAK
hmemcpy,milewski-ctfp-pdf,"11,452",https://github.com/hmemcpy/milewski-ctfp-pdf
kanaka,mal,"10,535",https://github.com/kanaka/mal
lk-geimfari,awesomo,"9,762",https://github.com/lk-geimfari/awesomo
gitbucket,gitbucket,"9,335",https://github.com/gitbucket/gitbucket
lauris,awesome-scala,"9,183",https://github.com/lauris/awesome-scala
twitter,finagle,"8,856",https://github.com/twitter/finagle
gatling,gatling,"6,841",https://github.com/gatling/gatling
Angel-ML,angel,"6,784",https://github.com/Angel-ML/angel
apache,zeppelin,"6,595",https://github.com/apache/zeppelin
nteract,papermill,"6,345",https://github.com/nteract/papermill
microsoft,vscode,"180,313",https://github.com/microsoft/vscode
n8n-io,n8n,"166,383",https://github.com/n8n-io/n8n
microsoft,TypeScript,"107,326",https://github.com/microsoft/TypeScript
denoland,deno,"105,722",https://github.com/denoland/deno
angular,angular,"99,610",https://github.com/angular/angular
ant-design,ant-design,"97,156",https://github.com/ant-design/ant-design
storybookjs,storybook,"88,943",https://github.com/storybookjs/storybook
immich-app,immich,"88,229",https://github.com/immich-app/immich
oven-sh,bun,"85,924",https://github.com/oven-sh/bun
mermaid-js,mermaid,"85,049",https://github.com/mermaid-js/mermaid
unionlabs,union,"74,425",https://github.com/unionlabs/union
nestjs,nest,"74,118",https://github.com/nestjs/nest
enaqx,awesome-react,"71,434",https://github.com/enaqx/awesome-react
strapi,strapi,"70,867",https://github.com/strapi/strapi
ionic-team,ionic-framework,"52,269",https://github.com/ionic-team/ionic-framework
prettier,prettier,"51,343",https://github.com/prettier/prettier
DefinitelyTyped,DefinitelyTyped,"50,779",https://github.com/DefinitelyTyped/DefinitelyTyped
TanStack,query,"47,997",https://github.com/TanStack/query
FlowiseAI,Flowise,"47,798",https://github.com/FlowiseAI/Flowise
type-challenges,type-challenges,"47,407",https://github.com/type-challenges/type-challenges
